"x","y"
"3567.939453125","2.899692E-15"
"3570.8252696991","2.868990E-15"
"3573.71108627319","2.608968E-15"
"3576.59690284729","2.604038E-15"
"3579.48271942139","2.333248E-15"
"3582.36853599548","2.324378E-15"
"3585.25435256958","2.705202E-15"
"3588.14016914368","3.003689E-15"
"3591.02598571777","2.157646E-15"
"3593.91180229187","2.454600E-15"
"3596.79761886597","2.254364E-15"
"3599.68343544006","2.385505E-15"
"3602.56925201416","2.071109E-15"
"3605.45506858826","2.616633E-15"
"3608.34088516235","3.301796E-15"
"3611.22670173645","2.484652E-15"
"3614.11251831055","2.783050E-15"
"3616.99833488464","2.646805E-15"
"3619.88415145874","2.295745E-15"
"3622.76996803284","2.504820E-15"
"3625.65578460693","2.439068E-15"
"3628.54160118103","3.345914E-15"
"3631.42741775513","2.608169E-15"
"3634.31323432922","2.687899E-15"
"3637.19905090332","2.607797E-15"
"3640.08486747742","2.808299E-15"
"3642.97068405151","2.496973E-15"
"3645.85650062561","2.280126E-15"
"3648.74231719971","1.996535E-15"
"3651.6281337738","2.562325E-15"
"3654.5139503479","2.069960E-15"
"3657.399766922","2.423377E-15"
"3660.28558349609","1.821134E-15"
"3663.17140007019","1.719900E-15"
"3666.05721664429","1.315801E-15"
"3668.94303321838","2.023515E-15"
"3671.82884979248","2.030692E-15"
"3674.71466636658","1.950027E-15"
"3677.60048294067","1.617425E-15"
"3680.48629951477","1.552647E-15"
"3683.37211608887","1.127470E-15"
"3686.25793266296","1.788199E-15"
"3689.14374923706","1.201933E-15"
"3692.02956581116","1.494342E-15"
"3694.91538238525","1.729626E-15"
"3697.80119895935","1.944484E-15"
"3700.68701553345","1.622407E-15"
"3703.57283210754","2.248305E-15"
"3706.45864868164","1.652415E-15"
"3709.34446525574","1.674004E-15"
"3712.23028182983","1.579255E-15"
"3715.11609840393","2.607478E-15"
"3718.00191497803","4.596932E-15"
"3720.88773155212","8.059767E-15"
"3723.77354812622","1.236534E-14"
"3726.65936470032","1.442256E-14"
"3729.54518127442","1.172438E-14"
"3732.43099784851","6.923537E-15"
"3735.31681442261","3.555836E-15"
"3738.20263099671","1.853679E-15"
"3741.0884475708","1.724488E-15"
"3743.9742641449","1.367022E-15"
"3746.860080719","1.837111E-15"
"3749.74589729309","1.919935E-15"
"3752.63171386719","1.535393E-15"
"3755.51753044129","1.257592E-15"
"3758.40334701538","1.178923E-15"
"3761.28916358948","1.155798E-15"
"3764.17498016358","1.526238E-15"
"3767.06079673767","2.045221E-15"
"3769.94661331177","2.168905E-15"
"3772.83242988587","1.812949E-15"
"3775.71824645996","1.206055E-15"
"3778.60406303406","7.211333E-16"
"3781.48987960816","7.649853E-16"
"3784.37569618225","1.211985E-15"
"3787.26151275635","1.176118E-15"
"3790.14732933045","1.797081E-15"
"3793.03314590454","2.018875E-15"
"3795.91896247864","2.154055E-15"
"3798.80477905274","2.288150E-15"
"3801.69059562683","1.675585E-15"
"3804.57641220093","1.600592E-15"
"3807.46222877503","9.970928E-16"
"3810.34804534912","7.978625E-16"
"3813.23386192322","1.258815E-15"
"3816.11967849732","1.367311E-15"
"3819.00549507141","1.579850E-15"
"3821.89131164551","1.280763E-15"
"3824.77712821961","1.370811E-15"
"3827.6629447937","1.664031E-15"
"3830.5487613678","2.272808E-15"
"3833.4345779419","2.818530E-15"
"3836.32039451599","2.855925E-15"
"3839.20621109009","2.334466E-15"
"3842.09202766419","1.391826E-15"
"3844.97784423828","7.073576E-16"
"3847.86366081238","1.335385E-15"
"3850.74947738648","9.522966E-16"
"3853.63529396057","1.115214E-15"
"3856.52111053467","1.087646E-15"
